learner_id,signup_date,age,city_tier,education,hours_per_week_pledged,weekly_logins_avg,assignments_submitted,forum_posts,video_watch_pct,has_mentor,device,referral_source,payment_plan,days_since_last_login,certificate_issued,final_score,notes,completed_course
L-01146,2026-01-22,24,Tier 3,OTHER,8.3,4.2,3,6,89.0,Y,MOBILE,instagram,scholarship,1,Y,78.6,n/a,1
L-00695,2026-06-02,15,Tier 1,Bachelors,1.0,2.54,0,4,31.2,no,desktop,instagram,paid,33,no,,,0
L-00530,20-05-2026,24,tier-2,Diploma,10.3,0.5,0,3,10.7,,laptop,instagram,scholarship,23,No,,follow up next intake,0
L-02228,2026-01-19,23,1,B.Tech,1.6,3.01,0,0,40.2,no,mobile,school_partner,free,33,FALSE,,duplicate?  check,0
L-00914,16/02/2026,21,2,High School,9.8,4.36,3,1,36.7,no,Desktop,instagram,paid,19,TRUE,67.1,follow up next intake,1
L-00860,2026-06-03,22,1,Bachelors,8.4,1.52,2,1,53.1,1,mobile,youtube,free,17,0,,called on phone,0
L-02674,2026-04-09,22,2,Masters,3.4,4.7,0,4,31.9,0,laptop,instagram,free,20,No,,n/a,0
L-02644,11-04-2026,,tier-3,Diploma,6.5,2.27,0,5,,No,Tablet,instagram,free,25,no,,-,0
L-02550,2026-04-14,25,2,DIPLOMA,1.8,4.17,8,4,60.9,FALSE,mobile,school_partner,free,24,TRUE,77.2,-,1
L-01648,09/01/2026,22,tier-2,high school,8.8,3.3,6,1,39.2,TRUE,laptop,instagram,paid,25,yes,75.2,called on phone,1
L-00847,22-01-2026,26,3,HS,4.5,2.66,4,5,48.9,Yes,phone,school_partner,scholarship,32,N,,requested extension,0
L-00538,2026-02-11,19,2,High School,2.0,3.42,4,1,44.2,No,laptop,friend,paid,16,N,,n/a,0
L-01515,2026-03-13,30,1,Masters,3.7,1.33,3,2,29.1,0,mobile,school_partner,free,27,N,,,0
L-00021,2026-04-16,21,1,Bachelors,4.9,1.77,3,4,33.0,Yes,mobile,instagram,free,41,FALSE,,asked about certificate,0
L-00945,14/04/2026,22,2,High School,9.0,4.4,9,8,71.4,yes,laptop,youtube,paid,21,TRUE,86.0,,1
L-02774,2026-01-03,,3,high school,7.2,,0,4,101.0,N,laptop,friend,paid,3,0,28.1,asked about certificate,0
L-02782,2026-02-04,21,3,Bachelors,12.2,4.04,1,2,56.4,TRUE,laptop,instagram,paid,14,FALSE,,requested extension,0
L-01677,2026-04-19,15,1,Diploma,7.3,4.4,2,1,25.1,FALSE,mobile,instagram,scholarship,24,N,39.3,called on phone,0
L-00871,2026-04-12,15,3,B.Tech,4.4,0.0,5,5,22.3,Yes,laptop,school_partner,free,36,0,,,0
L-00460,2026-01-06,25,Tier 3,Bachelors,5.3,1.64,4,4,26.6,0,laptop,school_partner,scholarship,33,0,48.4,,0
L-02584,2026-04-20,23,3,Masters,4.1,2.92,4,0,31.8,yes,desktop,school_partner,free,26,1,78.3,requested extension,1
L-02445,2026-04-19,17,1,High School,12.0,3.36,3,3,88.5,no,Laptop,youtube,free,8,No,,duplicate?  check,0
L-00811,2026-01-21,28,1,High School,10.0,4.36,4,3,100.0,0,Mobile,school_partner,paid,20,FALSE,39.5,requested extension,0
L-00863,2026-04-02,22,2,Bachelors,9.7,4.32,2,6,37.8,TRUE,mobile,friend,scholarship,2,FALSE,,called on phone,0
L-02234,2026-03-25,22,3,High School,4.6,1.56,4,4,23.5,FALSE,Desktop,instagram,scholarship,11,0,,,0
